NUMĂRUL TURIŞTILOR CAZAŢI ÎN STRUCTURILE DE PRIMIRE TURISTICĂ COLECTIVE CU FUNCŢIUNE DE CAZARE,,,,,,,,,,,,,,
,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii
,T O T A L,,,,,,,din care turişti străini,,,,,,
trim.III,134639,51775,11201,2388,9173,23298,36804,41796,37779,1090,-,438,2466,23
trim. IV,68219,48131,3800,1599,8261,6428,-,38617,34691,1087,-,167,2672,
2018,364608,203188,17709,5983,32449,54310,50969,160233,142465,6155,-,847,10677,89
trim. I,49696,36282,2441,1265,6461,3210,37,27128,24716,870,-,98,1444,-
trim. II,100758,56333,5508,1450,7441,15613,14413,44145,39143,2087,-,263,2652,-
trim.III,139341,57109,5613,1643,10053,28627,36296,46234,40530,1513,-,366,3748,77
trim. IV,74813,53464,4147,1625,8494,6860,223,42726,38076,1685,-,120,2833,12
2019,374765,213808,17168,4947,32156,55853,50833,174021,154357,6130,-,741,12676,117
trim. I,55347,41182,2821,753,5910,4532,149,31008,27998,978,-,87,1934,11
trim. II,101023,57184,4751,1611,7407,15242,14828,47932,42184,1954,-,189,3594,11
trim.III,143656,60967,6421,1680,9865,28949,35774,51355,45208,1940,-,342,3770,95
trim. IV,74739,54475,3175,903,8974,7130,82,43726,38967,1258,-,123,3378,-
2020,90338,50581,14576,2480,10963,11519,219,28732,25457,1281,-,95,1899,-
trim. I,38762,25818,3478,794,5328,3335,9,18475,16164,941,-,89,1281,-
trim. II,2587,1447,82,561,55,402,40,660,631,1,-,-,28,-
trim.III,24832,10824,5208,561,2518,5578,143,4048,3716,59,-,2,271,-
trim. IV,24157,12492,5808,564,3062,2204,27,5549,4946,280,,4,319,-
2021,178196,99970,21411,2573,21636,29831,2775,68852,59727,3201,-,163,5761,-
trim. I,22113,12881,3170,667,3366,2029,-,7321,6460,261,-,1,599,-
trim. II,34324,19496,4959,782,4150,4474,463,12301,10345,757,-,35,1164,-
trim.III,69638,34761,6767,563,8057,17232,2258,24846,21419,1134,-,76,2217,-
trim. IV,52121,32832,6515,561,6063,6096,54,24384,21503,1049,-,51,1781,-
2022,333925,175588,37318,7939,25842,62018,25220,162086,130457,8822,2306,380,20109,12
trim. I,56580,37227,7040,1731,4233,6349,-,36089,29421,2225,650,88,3705,-
trim. II,77167,40391,8753,2055,5390,15212,5366,37054,30018,1915,911,85,4125,-
trim.III,125346,53430,12036,1946,8814,29686,19434,48653,38957,2157,392,110,7025,12
trim. IV,74832,44540,9489,2207,7405,10771,420,40290,32061,2525,353,97,5254,-
2023,391471,209357,46478,8114,27057,69335,31130,195447,156153,13030,3190,395,22670,9
trim. I,63857,40547,7105,1727,5589,8889,-,38146,30116,2146,342,73,5469,-
trim. II,89284,46801,10220,2500,4963,17052,7748,42991,34644,2600,562,83,5100,2
