NUMĂRUL ÎNNOPTĂRILOR TURIŞTILOR ÎN STRUCTURILE DE PRIMIRE TURISTICĂ COLECTIVE CU FUNCŢIUNE DE CAZARE,,,,,,,,,,,,,,,
,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,
,T O T A L,,,,,,,din care turişti străini,,,,,,,
trim. III,672439,85674,16060,24271,143806,84264,318383,70770,59377,2135,265,4018,4745,230,
trim. IV,257652,79785,4829,28215,129738,15066,-,66284,57969,1912,45,1610,4748,-,
2017,1514970,345006,36034,106802,440003,152125,435000,297183,253609,9002,74,11901,22367,230,
trim. I,180651,58066,2749,26079,87571,5946,240,45051,39814,1002,34,1224,2977,-,
trim. II,410023,99022,8654,24541,113206,45217,119383,85698,74327,1448,40,3337,6546,-,
trim. III,665367,101016,17368,29305,118378,83653,315377,89284,73398,3447,-,5472,6737,230,
trim. IV,258929,86902,7263,26877,120848,17309,-,77150,66070,3105,-,1868,6107,-,
2018,1667793,408670,37660,106492,472719,162576,479676,340345,289882,15756,-,10636,23157,914,
trim. I,195716,68206,3971,26440,91058,5930,111,54528,48572,1892,-,1113,2951,-,
trim. II,441298,115498,10517,26237,113133,47851,128062,94829,80203,5034,-,3363,6229,-,
trim. III,733908,117318,13101,24894,139345,88183,351067,97087,80040,3626,-,4672,7883,866,
trim. IV,296871,107648,10071,28921,129183,20612,436,93901,81067,5204,,1488,6094,48,
2019,1591275,437971,36593,78995,469084,162104,406528,386392,334865,17058,-,8994,24457,1018,
trim. I,203968,82797,6125,22590,82567,9580,309,67907,60690,2794,-,974,3416,33,
trim. II,419338,115453,11207,25597,114052,42673,110356,108511,91357,7010,-,2210,7923,11,
trim. III,681394,127425,12884,14835,136339,94308,295603,116125,99037,4319,-,4363,7432,974,
trim. IV,286575,112296,6377,15973,136126,15543,260,93849,83781,2935,-,1447,5686,-,
2020,375968,104401,19755,69734,160889,18085,3104,70385,61786,3505,-,1085,4009,-,
trim. I,163011,54398,5519,18482,79262,5336,14,44053,38102,2602,-,1034,2315,-,
trim. II,23517,3397,171,17017,1675,509,748,1795,1733,2,-,-,60,-,
trim. III,89474,22158,5943,17204,33697,8325,2147,10680,10068,92,-,13,507,-,
trim. IV,99966,24448,8122,17031,46255,3915,195,13857,11883,809,,38,1127,-,
2021,762877,236255,39037,68548,320891,68026,30120,158629,137890,7530,-,1954,11255,-,
trim. I,99983,25664,5946,17051,47562,3760,-,15579,13955,566,-,18,1040,-,
trim. II,147034,47805,8836,17459,60990,8788,3156,25247,20741,1826,-,419,2261,-,
trim. III,296251,85969,11980,16834,113361,42763,25344,55050,46889,2664,-,912,4585,-,
trim. IV,219609,76817,12275,17204,98978,12715,1620,62753,56305,2474,-,605,3369,-,
2022,1345997,438370,81293,78012,375267,146976,226079,422098,346340,32699,2596,4608,35735,120,
trim. I,205117,100095,17165,19566,56888,11403,-,96293,79701,7837,650,788,7317,-,
trim. II,299865,106980,16678,19714,75337,35508,45648,101327,85695,4755,1028,1162,8687,-,
trim. III,546418,121155,25879,19005,124383,76995,179001,114044,92557,9464,497,1462,9944,120,
trim. IV,294597,110140,21571,19727,118659,23070,1430,110434,88387,10643,421,1196,9787,-,
2023,1415014,429806,76238,77874,387804,171771,271521,408201,339715,20662,3715,4812,39216,81,
trim. I,213273,93728,12547,18858,74006,14134,-,88252,75082,3571,393,885,8321,-,
trim. II,317717,100162,16150,19861,70365,44857,66322,95903,79629,4620,651,1080,9913,10,
trim. III,586292,121876,26583,19899,130382,82353,205199,115055,95104,6405,1917,1730,9828,71,
trim. IV,297732,114040,20958,19256,113051,30427,-,108991,89900,6066,754,1117,11154,-,
2024,1557111,534385,78882,81609,407184,165048,290003,501318,422782,23701,7217,6393,40730,495,
trim. I,227103,101260,14634,19383,70685,19628,1513,95457,80268,5567,851,627,8144,-,
trim. II,387087,141707,20246,20752,83785,42897,77700,132305,109486,6732,2149,1702,12218,18,
trim. III,608255,144066,27066,21149,130593,82253,203128,137410,114437,6345,2383,2405,11363,477,
trim. IV,334666,147352,16936,20325,122121,20270,7662,136146,118591,5057,1834,1659,9005,-,
2025,,,,,,,,,,,,,,,
trim. I,249161,124723,16446,19665,73362,13908,1057,111513,96375,4900,1280,1426,7532,-,
trim. II,400956,150070,31270,19884,90502,38286,70944,140588,118220,7116,1628,2210,11072,342,
trim.III,632199,168576,37392,20551,135574,69214,200892,160570,131676,11487,2168,3282,11890,67,
trim. IV,,,,,,,,,,,,,,,
